Date,Symbol,Series,Deliverable_Qty,Traded_Qty,Delivery_Pct
2025-11-04,ASPINWALL,EQ,1749.0,2454,71.27
2025-11-04,ASPIRE,SM,10000.0,12000,83.33
2025-11-04,ASTEC,EQ,8772.0,20890,41.99
2025-11-04,ASTERDM,EQ,157802.0,404418,39.02
2025-11-04,ASTRAL,EQ,272560.0,429263,63.49
2025-11-04,ASTRAMICRO,EQ,58863.0,126799,46.42
2025-11-04,ASTRAZEN,EQ,9189.0,18117,50.72
2025-11-04,ASTRON,EQ,77247.0,113814,67.87
2025-11-04,ATALREAL,EQ,950363.0,2500032,38.01
2025-11-04,ATAM,EQ,30303.0,55680,54.42
2025-11-04,ATCENERGY,SM,46800.0,51600,90.7
2025-11-04,ATGL,EQ,187049.0,524868,35.64
2025-11-04,ATHERENERG,EQ,742418.0,2213018,33.55
2025-11-04,ATL,EQ,302537.0,633274,47.77
2025-11-04,ATLANTAA,BE,,102351,
2025-11-04,ATLANTAELE,EQ,66956.0,131444,50.94
2025-11-04,ATLASCYCLE,EQ,2041.0,3298,61.89
2025-11-04,ATMASTCO,SM,32800.0,40400,81.19
2025-11-04,ATUL,EQ,7595.0,13312,57.05
2025-11-04,ATULAUTO,EQ,24260.0,57069,42.51
2025-11-04,AUBANK,EQ,2272600.0,2981577,76.22
2025-11-04,AURDIS,SM,3125.0,3125,100.0
2025-11-04,AURIGROW,EQ,3140814.0,6593776,47.63
2025-11-04,AURIONPRO,EQ,100900.0,252793,39.91
2025-11-04,AUROIMPEX,SM,12800.0,12800,100.0
2025-11-04,AUROPHARMA,EQ,518319.0,1054886,49.14
2025-11-04,AURUM,EQ,27807.0,33663,82.6
2025-11-04,AUSL,SM,2000.0,2000,100.0
2025-11-04,AUSOMENT,EQ,1486.0,1826,81.38
2025-11-04,AUTOAXLES,EQ,5432.0,8183,66.38
2025-11-04,AUTOBEES,EQ,80550.0,149353,53.93
2025-11-04,AUTOIETF,EQ,281021.0,652703,43.05
2025-11-04,AUTOIND,EQ,37534.0,57116,65.72
