Date,Symbol,Series,Open,High,Low,Close,PrevClose,Volume,Turnover
2025-11-14,INOXWIND,EQ,148.62,150.0,146.11,148.69,148.56,7289866,10796.84
2025-11-14,INSECTICID,EQ,665.0,667.9,660.0,666.9,665.3,15350,101.99
2025-11-14,INSPIRE,SM,14.15,14.5,14.15,14.2,14.55,24000,3.43
2025-11-14,INSPIRISYS,EQ,105.59,105.59,100.03,101.21,104.01,7554,7.75
2025-11-14,INTELLECT,EQ,1108.2,1108.3,1083.3,1089.7,1120.4,232872,2545.29
2025-11-14,INTENTECH,BE,137.5,137.93,134.34,136.7,131.37,64542,88.38
2025-11-14,INTERARCH,EQ,2622.0,2655.0,2562.5,2584.5,2619.6,94096,2456.24
2025-11-14,INTERNET,EQ,14.39,14.44,14.29,14.31,14.39,151729,21.73
2025-11-14,INTLCONV,EQ,89.5,90.84,85.52,89.64,93.86,541446,480.13
2025-11-14,INVENTURE,EQ,1.34,1.35,1.31,1.32,1.34,1551032,20.6
2025-11-14,IOB,EQ,38.84,39.09,38.58,38.79,38.84,4033664,1565.98
2025-11-14,IOC,EQ,172.4,174.21,170.4,171.25,172.45,11051895,18961.84
2025-11-14,IOLCP,EQ,98.1,98.29,95.11,95.67,98.07,1196620,1148.48
2025-11-14,IONEXCHANG,EQ,368.0,371.75,365.0,367.55,368.25,99675,367.33
2025-11-14,IPCALAB,EQ,1309.7,1548.0,1305.0,1479.6,1302.0,4131703,59499.27
2025-11-14,IPHL,SM,62.9,62.9,61.4,62.9,52.45,346800,217.78
2025-11-14,IPL,EQ,182.25,187.83,181.25,181.65,182.68,192462,353.15
2025-11-14,IRB,EQ,42.2,43.24,42.08,42.96,42.35,8484947,3633.61
2025-11-14,IRBINVIT,IV,61.51,62.2,60.06,60.97,62.39,2188530,1335.95
2025-11-14,IRCON,EQ,161.2,167.8,161.2,163.27,161.13,4180743,6863.11
2025-11-14,IRCTC,EQ,709.9,709.9,702.3,705.3,709.9,827789,5831.0
2025-11-14,IREDA,EQ,149.51,150.95,148.31,149.61,149.29,5447973,8147.14
2025-11-14,IRFC,EQ,120.68,121.99,120.4,121.01,120.75,5135998,6218.01
2025-11-14,IRIS,EQ,358.0,358.0,357.6,357.6,376.4,11469,41.02
2025-11-14,IRISDOREME,EQ,33.2,34.23,33.01,33.49,33.73,442465,148.49
2025-11-14,IRMENERGY,EQ,314.15,319.5,308.0,316.0,314.4,75885,238.7
2025-11-14,ISFT,EQ,95.02,95.8,93.51,93.99,95.02,27706,26.22
2025-11-14,ISGEC,EQ,858.75,897.0,851.0,889.8,865.0,47399,415.9
2025-11-14,ISHAN,SM,0.9,0.9,0.9,0.9,0.85,48000,0.43
2025-11-14,ISHANCH,BE,72.0,72.0,69.15,69.9,71.15,50474,35.5
2025-11-14,IT,EQ,39.7,39.99,39.32,39.72,40.06,197856,78.29
2025-11-14,ITALIANE,SM,32.0,32.0,32.0,32.0,31.5,2000,0.64
2025-11-14,ITBEES,EQ,40.2,40.21,39.57,39.95,40.36,13380444,5337.49
2025-11-14,ITC,EQ,404.7,408.75,400.1,408.15,405.7,64020258,256971.83
2025-11-14,ITCHOTELS,EQ,209.56,210.3,208.0,209.18,209.62,1464302,3058.48
2025-11-14,ITDC,EQ,589.9,597.3,588.05,594.35,591.1,12140,71.88
2025-11-14,ITETF,EQ,38.59,38.59,37.68,37.99,38.4,196980,74.67
2025-11-14,ITETFADD,EQ,38.03,38.13,37.65,37.98,38.35,14942,5.66
2025-11-14,ITI,EQ,318.0,321.0,314.05,316.55,323.0,416302,1318.8
2025-11-14,ITIETF,EQ,40.21,40.21,39.48,39.84,40.21,514858,204.56
2025-11-14,ITTL,ST,106.15,108.25,105.0,106.6,106.15,1260,1.35
2025-11-14,IVALUE,EQ,321.0,324.35,309.65,312.4,326.8,571128,1809.5
2025-11-14,IVC,EQ,8.95,9.22,8.31,9.11,7.69,5756313,512.43
2025-11-14,IVP,EQ,172.0,173.69,169.01,170.39,170.47,3364,5.74
2025-11-14,IVZINGOLD,EQ,11040.0,11091.05,10827.1,10887.7,11040.85,539,59.14
2025-11-14,IVZINNIFTY,EQ,2914.0,2936.0,2914.0,2930.17,2932.0,7,0.2
2025-11-14,IWARE,ST,198.0,200.0,190.0,195.95,196.0,46800,91.61
2025-11-14,IXIGO,EQ,277.7,279.25,274.5,277.1,277.7,887198,2452.4
2025-11-14,IZMO,BE,860.25,860.25,860.25,860.25,819.3,23047,198.26
2025-11-14,J&KBANK,EQ,106.23,107.65,106.06,107.24,106.33,2024091,2163.45
2025-11-14,JAGRAN,EQ,70.43,70.43,69.7,69.84,69.91,85604,59.88
2025-11-14,JAGSNPHARM,EQ,210.5,212.5,209.11,210.21,209.77,29314,61.71
2025-11-14,JAIBALAJI,EQ,87.85,87.85,84.5,85.99,87.15,309892,267.99
2025-11-14,JAICORPLTD,EQ,149.52,149.95,148.36,149.49,150.68,468432,698.62
2025-11-14,JAINIK,ST,134.15,140.0,134.15,140.0,138.75,7200,9.89
2025-11-14,JAINREC,EQ,441.1,449.95,437.3,439.7,442.05,2345611,10393.04
2025-11-14,JAIPURKURT,EQ,35.07,35.99,33.0,33.91,34.37,15474,5.25
2025-11-14,JALAN,SM,3.25,3.25,3.25,3.25,3.25,9000,0.29
2025-11-14,JAMNAAUTO,EQ,105.43,109.38,104.62,109.1,105.19,3997719,4336.02
2025-11-14,JARO,EQ,612.0,629.75,612.0,627.1,619.3,95859,591.91
2025-11-14,JASH,EQ,483.0,495.8,473.55,490.3,485.35,95342,462.86
2025-11-14,JAYAGROGN,EQ,224.56,227.43,217.05,219.29,224.3,7398,16.48
2025-11-14,JAYBARMARU,BE,88.4,92.25,87.1,91.84,88.0,120606,109.33
2025-11-14,JAYBEE,SM,142.5,145.9,140.1,140.95,141.35,44500,63.84
2025-11-14,JAYESH,ST,120.85,120.85,119.0,119.1,120.95,33000,39.83
2025-11-14,JAYNECOIND,EQ,75.15,76.2,73.34,74.52,76.24,3830239,2867.22
2025-11-14,JAYSREETEA,EQ,94.0,95.9,93.5,95.0,94.28,16331,15.44
2025-11-14,JBCHEPHARM,EQ,1818.6,1838.0,1811.0,1823.0,1818.6,61533,1122.76
2025-11-14,JBMA,EQ,632.0,635.25,628.0,633.4,631.55,119353,754.38
2025-11-14,JCHAC,EQ,1750.7,1754.9,1745.0,1751.6,1750.8,29263,512.37
2025-11-14,JETFREIGHT,EQ,14.18,15.1,14.16,14.33,14.4,192829,28.13
2025-11-14,JEYYAM,ST,66.9,67.9,66.05,66.45,66.9,36000,23.96
2025-11-14,JGCHEM,EQ,419.0,425.0,410.0,413.05,421.9,91907,381.84
2025-11-14,JHS,EQ,11.85,13.2,11.6,12.34,11.62,285702,35.26
2025-11-14,JINDALPHOT,EQ,1406.0,1406.0,1310.0,1337.0,1378.6,10339,138.86
2025-11-14,JINDALPOLY,EQ,561.85,561.9,552.65,555.1,559.05,11796,65.67
2025-11-14,JINDALSAW,EQ,170.9,170.9,168.72,169.13,171.25,1400209,2371.11
2025-11-14,JINDALSTEL,EQ,1082.6,1096.0,1068.8,1076.2,1087.8,1403097,15201.71
