SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
NIF5GETF, EQ, 21-Oct-2025, 63.48, 64.14, 64.14, 64.14, 64.14, 64.14, 64.14, 113, 0.07, 4, 113, 100.00
NIFITETF, EQ, 21-Oct-2025, 364.25, 365.38, 366.75, 363.32, 365.08, 365.01, 365.29, 721, 2.63, 31, 564, 78.22
NIFMID150, EQ, 21-Oct-2025, 220.50, 221.15, 222.25, 220.71, 220.71, 220.80, 220.91, 1000, 2.21, 25, 990, 99.00
NIFTY1, EQ, 21-Oct-2025, 283.52, 283.52, 289.97, 283.52, 283.52, 284.25, 284.47, 30746, 87.46, 656, 26282, 85.48
NIFTY100EW, EQ, 21-Oct-2025, 34.09, 34.80, 34.80, 34.03, 34.14, 34.17, 34.21, 10672, 3.65, 113, 9479, 88.82
NIFTY50ADD, EQ, 21-Oct-2025, 269.75, 271.09, 272.02, 269.50, 269.89, 269.71, 270.35, 34503, 93.28, 319, 11974, 34.70
NIFTYBEES, EQ, 21-Oct-2025, 291.86, 292.92, 292.92, 291.49, 291.65, 291.87, 292.13, 1818933, 5313.59, 31657, 1290061, 70.95
NIFTYBETF, EQ, 21-Oct-2025, 263.42, 264.99, 264.99, 263.22, 263.71, 263.99, 263.95, 740, 1.95, 62, 617, 83.38
NIFTYCASE, EQ, 21-Oct-2025, 10.29, 10.54, 10.97, 10.24, 10.32, 10.31, 10.32, 257148, 26.54, 409, 252131, 98.05
NIFTYETF, EQ, 21-Oct-2025, 278.06, 271.10, 279.99, 271.10, 278.82, 278.92, 278.93, 27351, 76.29, 743, 19989, 73.08
NIFTYIETF, EQ, 21-Oct-2025, 290.21, 282.95, 295.40, 282.95, 290.27, 290.53, 290.75, 178618, 519.33, 6464, 148112, 82.92
NIFTYQLITY, EQ, 21-Oct-2025, 21.95, 22.04, 22.04, 21.78, 21.95, 21.97, 21.96, 40504, 8.89, 239, 28739, 70.95
NIITLTD, EQ, 21-Oct-2025, 104.06, 106.80, 106.80, 105.08, 105.90, 105.89, 105.88, 60251, 63.79, 900, 43301, 71.87
NIITMTS, EQ, 21-Oct-2025, 326.65, 323.90, 331.25, 323.90, 327.20, 328.90, 328.87, 10356, 34.06, 704, 5315, 51.32
NIKITA, ST, 21-Oct-2025, 147.85, 141.70, 151.70, 141.70, 147.85, 149.15, 148.44, 16800, 24.94, 14, 12000, 71.43
NILAINFRA, EQ, 21-Oct-2025, 10.07, 10.16, 10.35, 9.90, 10.16, 10.15, 10.19, 155591, 15.86, 599, 118298, 76.03
NILASPACES, BE, 21-Oct-2025, 19.03, 19.50, 19.70, 19.01, 19.15, 19.23, 19.32, 332864, 64.32, 930, -, -
NILKAMAL, EQ, 21-Oct-2025, 1574.30, 1551.00, 1585.00, 1551.00, 1567.00, 1570.10, 1566.48, 623, 9.76, 95, 301, 48.31
NINSYS, EQ, 21-Oct-2025, 436.70, 433.45, 448.95, 433.45, 438.00, 440.35, 440.36, 259, 1.14, 43, 221, 85.33
NIPPOBATRY, EQ, 21-Oct-2025, 446.05, 442.05, 456.00, 441.00, 445.75, 449.65, 448.79, 2052, 9.21, 156, 1540, 75.05
NIRAJ, EQ, 21-Oct-2025, 34.60, 35.98, 37.45, 33.10, 34.35, 34.87, 35.54, 244547, 86.91, 947, 143518, 60.01
NIRAJISPAT, EQ, 21-Oct-2025, 278.00, 278.00, 304.90, 278.00, 304.00, 303.50, 303.52, 52, 0.16, 3, 52, 100.00
NIRMAN, SM, 21-Oct-2025, 143.10, 135.95, 135.95, 135.95, 135.95, 135.95, 135.95, 20400, 27.73, 48, 20400, 100.00
NITCO, EQ, 21-Oct-2025, 109.89, 111.60, 113.99, 110.00, 113.18, 112.94, 112.27, 102750, 115.36, 1719, 66705, 65.32
NITINSPIN, EQ, 21-Oct-2025, 314.40, 317.45, 327.70, 316.65, 327.70, 322.75, 320.67, 9287, 29.78, 591, 5355, 57.66
NITIRAJ, EQ, 21-Oct-2025, 191.72, 190.02, 200.00, 190.02, 200.00, 198.65, 198.33, 780, 1.55, 18, 701, 89.87
NIVABUPA, EQ, 21-Oct-2025, 74.46, 74.61, 75.89, 74.61, 75.80, 75.71, 75.49, 428864, 323.75, 4148, 210819, 49.18
NKIND, EQ, 21-Oct-2025, 67.75, 67.75, 69.00, 67.75, 69.00, 68.99, 68.99, 3314, 2.29, 5, 3314, 100.00
NLCINDIA, EQ, 21-Oct-2025, 267.15, 268.00, 269.20, 266.20, 266.20, 267.50, 267.62, 227838, 609.75, 3807, 134511, 59.09
NMDC, EQ, 21-Oct-2025, 75.24, 75.80, 76.19, 75.31, 75.69, 75.61, 75.65, 3318059, 2510.02, 17601, 1786338, 53.84
NOCIL, EQ, 21-Oct-2025, 179.76, 181.20, 182.04, 180.00, 181.00, 180.89, 181.03, 44805, 81.11, 1406, 26357, 58.83
NOIDATOLL, EQ, 21-Oct-2025, 4.40, 4.39, 4.62, 4.39, 4.46, 4.54, 4.58, 66725, 3.05, 214, 57022, 85.46
NORBTEAEXP, BE, 21-Oct-2025, 51.98, 51.73, 54.00, 49.38, 54.00, 52.11, 51.51, 752, 0.39, 22, -, -
NORTHARC, EQ, 21-Oct-2025, 274.90, 281.00, 281.00, 276.30, 277.50, 277.75, 278.13, 236038, 656.49, 6015, 161809, 68.56
NOVAAGRI, EQ, 21-Oct-2025, 45.38, 45.26, 46.90, 45.26, 46.45, 46.51, 46.35, 28284, 13.11, 401, 24519, 86.69
NPBET, EQ, 21-Oct-2025, 293.96, 295.00, 298.12, 292.61, 294.24, 293.70, 295.57, 726, 2.15, 27, 516, 71.07
NPST, EQ, 21-Oct-2025, 1933.40, 1901.00, 2058.00, 1901.00, 1999.00, 1988.60, 2001.18, 9473, 189.57, 1296, 6223, 65.69
NRAIL, EQ, 21-Oct-2025, 464.10, 464.10, 475.00, 464.10, 471.00, 471.50, 472.04, 5364, 25.32, 280, 3228, 60.18
NRBBEARING, EQ, 21-Oct-2025, 264.60, 264.60, 269.85, 264.60, 269.00, 268.70, 268.59, 33020, 88.69, 1170, 24026, 72.76
NRL, EQ, 21-Oct-2025, 67.56, 68.90, 70.50, 66.80, 68.19, 68.17, 68.90, 15686, 10.81, 185, 11011, 70.20
NRVANDANA, SM, 21-Oct-2025, 56.45, 58.45, 59.15, 58.45, 59.15, 59.15, 59.02, 36000, 21.25, 12, 36000, 100.00
NSIL, EQ, 21-Oct-2025, 8260.50, 8301.00, 8395.00, 8260.50, 8385.00, 8373.00, 8345.91, 8395, 700.64, 2316, 3530, 42.15
NSLNISP, EQ, 21-Oct-2025, 43.36, 43.41, 44.19, 43.37, 44.14, 44.00, 43.93, 985409, 432.90, 4493, 615531, 62.48
NTPC, EQ, 21-Oct-2025, 341.95, 342.95, 343.50, 341.05, 341.65, 342.00, 342.35, 346988, 1187.90, 10413, 204610, 59.00
NTPCGREEN, EQ, 21-Oct-2025, 99.98, 100.20, 100.80, 100.20, 100.50, 100.55, 100.51, 793569, 797.62, 10661, 530881, 66.95
NUCLEUS, EQ, 21-Oct-2025, 1002.10, 1024.30, 1025.00, 1000.00, 1011.95, 1008.90, 1010.90, 3854, 38.96, 491, 2472, 64.14
NURECA, EQ, 21-Oct-2025, 332.62, 329.99, 329.99, 307.60, 318.00, 319.24, 320.76, 88842, 284.97, 3537, 34715, 39.41
NUVAMA, EQ, 21-Oct-2025, 7019.50, 7019.50, 7290.00, 7000.00, 7250.00, 7260.00, 7226.45, 90583, 6545.94, 11888, 29969, 33.08
NUVOCO, EQ, 21-Oct-2025, 417.50, 418.55, 424.80, 417.50, 421.85, 422.25, 421.12, 59220, 249.39, 3066, 32840, 55.45
NV20, EQ, 21-Oct-2025, 150.84, 151.99, 151.99, 150.81, 151.00, 151.09, 151.01, 14176, 21.41, 155, 11287, 79.62
NV20BEES, EQ, 21-Oct-2025, 151.21, 151.96, 152.23, 151.03, 151.03, 151.85, 151.93, 11217, 17.04, 222, 9973, 88.91
NV20IETF, EQ, 21-Oct-2025, 14.76, 14.90, 14.90, 14.70, 14.79, 14.77, 14.79, 324342, 47.96, 1652, 255581, 78.80
NXST, RR, 21-Oct-2025, 162.68, 163.20, 165.05, 163.00, 165.00, 164.92, 164.85, 32789, 54.05, 1065, 29378, 89.60
NYKAA, EQ, 21-Oct-2025, 257.48, 258.79, 260.50, 255.33, 257.20, 256.86, 257.90, 729991, 1882.62, 9845, 247830, 33.95
OAL, EQ, 21-Oct-2025, 336.95, 337.00, 347.00, 335.10, 347.00, 344.80, 339.55, 8627, 29.29, 117, 7374, 85.48
OBCL, EQ, 21-Oct-2025, 55.02, 55.02, 55.86, 55.00, 55.00, 55.25, 55.24, 296, 0.16, 7, 296, 100.00
OBEROIRLTY, EQ, 21-Oct-2025, 1699.20, 1700.00, 1708.00, 1691.40, 1698.00, 1699.00, 1698.95, 41351, 702.53, 3588, 14845, 35.90
OBSCP, SM, 21-Oct-2025, 303.55, 303.80, 311.00, 303.00, 311.00, 307.55, 307.12, 20400, 62.65, 15, 18000, 88.24
OCCLLTD, EQ, 21-Oct-2025, 125.43, 126.07, 128.99, 125.02, 125.06, 126.13, 126.86, 9458, 12.00, 155, 7680, 81.20
ODIGMA, BE, 21-Oct-2025, 41.89, 41.89, 42.80, 41.15, 42.50, 42.23, 42.13, 14974, 6.31, 427, -, -
OFSS, EQ, 21-Oct-2025, 8585.50, 8620.00, 8670.00, 8601.00, 8625.00, 8620.50, 8631.93, 15929, 1374.98, 3863, 7918, 49.71
OIL, EQ, 21-Oct-2025, 406.95, 407.70, 409.15, 405.00, 406.00, 406.60, 406.89, 210086, 854.82, 5185, 114793, 54.64
OILCOUNTUB, EQ, 21-Oct-2025, 69.91, 69.91, 71.89, 69.46, 70.00, 70.15, 70.21, 14240, 10.00, 121, 8989, 63.13
OILIETF, EQ, 21-Oct-2025, 11.79, 11.82, 11.95, 11.73, 11.79, 11.80, 11.81, 716622, 84.66, 1793, 509250, 71.06
OLAELEC, BE, 21-Oct-2025, 54.94, 53.53, 54.48, 52.65, 53.43, 53.33, 53.52, 10703942, 5728.48, 37353, -, -
OLECTRA, EQ, 21-Oct-2025, 1441.80, 1450.00, 1459.90, 1430.00, 1438.00, 1439.50, 1446.34, 81229, 1174.85, 5308, 42086, 51.84
